building,status,start_node,dispatch_people,algorithm,full_node_path,pickup_node_order,pickup_room_order,total_cost,total_stair_edges,total_consecutive_elevators,stair_policy
공학실험동,ok,N5,3.0,Dijkstra + Exact TSP,N5 -> N19 -> N20 -> N21 -> N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7 -> N6 -> N5,N16 -> N7,220 -> 120,3720.0299999999997,0,0,"{""elevator_exists"": false, ""dispatch_people"": 3.0, ""avoid_stairs"": false, ""avoid_consecutive_elevators"": false, ""reason"": ""엘리베이터가 없는 건물이므로 계단 회피 정책 미적용""}"
외국어대학관,ok,N18,3.0,Dijkstra + Exact TSP,N18 -> N19 -> N11 -> N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14 -> N15 -> N16 -> N17 -> N18,N12 -> N14,124 -> 234,2511.48,0,0,"{""elevator_exists"": false, ""dispatch_people"": 3.0, ""avoid_stairs"": false, ""avoid_consecutive_elevators"": false, ""reason"": ""엘리베이터가 없는 건물이므로 계단 회피 정책 미적용""}"
