node_id,floor,x,y,is_pickup
N18,2,1201.0,125.0,False
N19,2,1210.0,359.0,False
N11,1,1234.0,359.0,False
N12,1,1226.0,416.0,True
N17,2,855.0,126.0,False
N16,2,537.0,124.0,False
N15,2,381.0,196.0,False
N14,2,362.0,414.0,True
