node_id,floor,x,y,is_pickup
N5,1,142.0,69.0,False
N19,2,1456.0,528.0,False
N20,2,1014.0,523.0,False
N21,2,662.0,525.0,False
N16,2,575.0,227.0,True
N15,2,145.0,224.0,False
N14,2,196.0,536.0,False
N12,1,1094.0,92.0,False
N13,1,716.0,100.0,False
N8,1,715.0,389.0,False
N7,1,489.0,393.0,True
N6,1,43.0,384.0,False
